env_1	env_2	raw	normalized
food-animal and animal feed	human-oral	1.069767441860465	0.18604651162790672
hydrocarbon resources-fluids/swabs	human-oral	1.0	0.0
human-gut	human-oral	1.0256410256410255	0.06837606837606813
hydrocarbon resources-cores	human-oral	1.0	0.0
human-associated	human-oral	1.018181818181818	0.04848484848484821
microbial mat/biofilm	human-oral	1.0	0.0
food-farm environment	human-oral	1.0864197530864197	0.23045267489711918
plant-associated	human-oral	1.021978021978022	0.0586080586080584
built environment	human-oral	1.0	0.0
sediment	human-oral	1.0	0.0
host-associated	human-vaginal	1.0597014925373134	0.15920398009950235
symbiont-associated	human-vaginal	1.2083333333333333	0.5555555555555554
soil	human-vaginal	1.0	0.0
food-human foods	human-vaginal	1.0476190476190477	0.12698412698412712
air	human-vaginal	1.0	0.0
human-skin	human-vaginal	1.0	0.0
miscellaneous natural or artificial environment	human-vaginal	1.0	0.0
water	human-vaginal	1.0085470085470085	0.02279202279202271
food-food production facility	human-vaginal	1.0354609929078014	0.09456264775413696
food-animal and animal feed	human-vaginal	1.065217391304348	0.17391304347826106
hydrocarbon resources-fluids/swabs	human-vaginal	1.0	0.0
human-gut	human-vaginal	1.0	0.0
hydrocarbon resources-cores	human-vaginal	1.0	0.0
human-associated	human-vaginal	1.03125	0.08333333333333333
microbial mat/biofilm	human-vaginal	1.0	0.0
food-farm environment	human-vaginal	1.0818713450292399	0.21832358674463967
plant-associated	human-vaginal	1.02	0.05333333333333338
built environment	human-vaginal	1.0	0.0
sediment	human-vaginal	1.0	0.0
symbiont-associated	host-associated	1.375	1.0
soil	host-associated	1.0	0.0
food-human foods	host-associated	1.0529801324503312	0.14128035320088314
air	host-associated	1.015625	0.041666666666666664
human-skin	host-associated	1.0677966101694916	0.1807909604519775
miscellaneous natural or artificial environment	host-associated	1.0	0.0
water	host-associated	1.0083333333333333	0.022222222222222143
food-food production facility	host-associated	1.0413793103448277	0.11034482758620712
food-animal and animal feed	host-associated	1.062937062937063	0.16783216783216778
hydrocarbon resources-fluids/swabs	host-associated	1.0	0.0
human-gut	host-associated	1.0677966101694916	0.1807909604519775
hydrocarbon resources-cores	host-associated	1.0	0.0
human-associated	host-associated	1.0533333333333332	0.14222222222222194
microbial mat/biofilm	host-associated	1.0	0.0
food-farm environment	host-associated	1.1183431952662721	0.31558185404339234
plant-associated	host-associated	1.0543478260869565	0.14492753623188412
built environment	host-associated	1.0	0.0
sediment	host-associated	1.0	0.0
soil	symbiont-associated	1.048780487804878	0.13008130081300825
food-human foods	symbiont-associated	1.0773809523809523	0.2063492063492062
air	symbiont-associated	1.1494252873563218	0.3984674329501914
human-skin	symbiont-associated	1.2134831460674158	0.5692883895131088
miscellaneous natural or artificial environment	symbiont-associated	1.1359223300970873	0.3624595469255662
water	symbiont-associated	1.0909090909090908	0.2424242424242422
food-food production facility	symbiont-associated	1.0740740740740742	0.19753086419753116
food-animal and animal feed	symbiont-associated	1.0880503144654088	0.23480083857442344
hydrocarbon resources-fluids/swabs	symbiont-associated	1.0608108108108107	0.16216216216216198
human-gut	symbiont-associated	1.2134831460674158	0.5692883895131088
hydrocarbon resources-cores	symbiont-associated	1.06993006993007	0.1864801864801867
human-associated	symbiont-associated	1.180952380952381	0.4825396825396826
microbial mat/biofilm	symbiont-associated	1.1065573770491803	0.2841530054644809
food-farm environment	symbiont-associated	1.1157894736842104	0.3087719298245612
plant-associated	symbiont-associated	1.1869918699186992	0.49864498644986455
built environment	symbiont-associated	1.0086580086580086	0.023088023088022897
sediment	symbiont-associated	1.1015625	0.2708333333333333
food-human foods	soil	1.0182926829268293	0.04878048780487809
air	soil	1.0	0.0
human-skin	soil	1.0	0.0
miscellaneous natural or artificial environment	soil	1.0	0.0
water	soil	1.0	0.0
food-food production facility	soil	1.0127388535031847	0.03397027600849256
food-animal and animal feed	soil	1.032258064516129	0.08602150537634401
hydrocarbon resources-fluids/swabs	soil	1.0	0.0
human-gut	soil	1.0	0.0
hydrocarbon resources-cores	soil	1.0	0.0
human-associated	soil	1.0	0.0
microbial mat/biofilm	soil	1.0091743119266054	0.0244648318042812
food-farm environment	soil	1.1055555555555556	0.28148148148148167
plant-associated	soil	1.0	0.0
built environment	soil	1.0	0.0
sediment	soil	1.008695652173913	0.023188405797101314
air	food-human foods	1.0534351145038168	0.14249363867684472
human-skin	food-human foods	1.0503597122302157	0.13429256594724195
miscellaneous natural or artificial environment	food-human foods	1.0472972972972974	0.1261261261261263
water	food-human foods	1.0374331550802138	0.09982174688057022
food-food production facility	food-human foods	1.0746268656716418	0.1990049751243781
food-animal and animal feed	food-human foods	1.104	0.2773333333333336
hydrocarbon resources-fluids/swabs	food-human foods	1.0317460317460319	0.08465608465608494
human-gut	food-human foods	1.0503597122302157	0.13429256594724195
hydrocarbon resources-cores	food-human foods	1.0324324324324323	0.0864864864864862
human-associated	food-human foods	1.0451612903225806	0.12043010752688173
microbial mat/biofilm	food-human foods	1.0421686746987953	0.11244979919678737
food-farm environment	food-human foods	1.0398009950248757	0.10613598673300177
plant-associated	food-human foods	1.0454545454545454	0.1212121212121211
built environment	food-human foods	1.003690036900369	0.009840098400983877
sediment	food-human foods	1.0406976744186047	0.10852713178294593
human-skin	air	1.0	0.0
miscellaneous natural or artificial environment	air	1.0166666666666666	0.04444444444444429
water	air	1.01	0.02666666666666669
food-food production facility	air	1.04	0.10666666666666676
food-animal and animal feed	air	1.0737704918032787	0.19672131147540975
hydrocarbon resources-fluids/swabs	air	1.0	0.0
human-gut	air	1.0	0.0
hydrocarbon resources-cores	air	1.0	0.0
human-associated	air	1.0	0.0
microbial mat/biofilm	air	1.0	0.0
food-farm environment	air	1.0974025974025974	0.25974025974025966
plant-associated	air	1.0	0.0
built environment	air	1.0	0.0
sediment	air	1.0	0.0
miscellaneous natural or artificial environment	human-skin	1.0	0.0
water	human-skin	1.0091743119266054	0.0244648318042812
food-food production facility	human-skin	1.037593984962406	0.10025062656641619
food-animal and animal feed	human-skin	1.0692307692307692	0.18461538461538454
hydrocarbon resources-fluids/swabs	human-skin	1.0	0.0
human-gut	human-skin	1.0	0.0
hydrocarbon resources-cores	human-skin	1.0	0.0
human-associated	human-skin	1.0357142857142858	0.0952380952380955
microbial mat/biofilm	human-skin	1.0	0.0
food-farm environment	human-skin	1.0858895705521472	0.22903885480572583
plant-associated	human-skin	1.0217391304347827	0.05797101449275388
built environment	human-skin	1.0	0.0
sediment	human-skin	1.0	0.0
water	miscellaneous natural or artificial environment	1.0116279069767442	0.03100775193798455
food-food production facility	miscellaneous natural or artificial environment	1.0352112676056338	0.09389671361502334
food-animal and animal feed	miscellaneous natural or artificial environment	1.064748201438849	0.17266187050359724
hydrocarbon resources-fluids/swabs	miscellaneous natural or artificial environment	1.0	0.0
human-gut	miscellaneous natural or artificial environment	1.0	0.0
hydrocarbon resources-cores	miscellaneous natural or artificial environment	1.0	0.0
human-associated	miscellaneous natural or artificial environment	1.0	0.0
